χωρῶν; τῶν χωρῶν<br><br>ἡ χώρα
κέρατε; τὼ κέρατε<br><br>τὸ κέρας
κεράτων; τῶν κεράτων<br><br>τὸ κέρας
κέρατος; τοῦ κέρατος<br><br>τὸ κέρας
κέρασῐ(ν); τοῖς κέρασῐ(ν)<br><br>τὸ κέρας
κέρας; τὸ κέρας<br>ῶ κέρας<br><br>τὸ κέρας
θῆρε; τὼ θῆρε<br><br>ὁ θήρ
θηρός; τοῦ θηρός<br><br>ὁ θήρ
θήρ; ὁ θήρ<br>ῶ θήρ<br><br>ὁ θήρ
θῆρᾰς; τοὺς θῆρᾰς<br><br>ὁ θήρ
θῆρᾰ; τὸν θῆρᾰ<br><br>ὁ θήρ
θηροῖν; τοῖν θηροῖν<br><br>ὁ θήρ
θῆρες; οἱ θῆρες<br><br>ὁ θήρ
θηρσί(ν); τοῖς θηρσί(ν)<br><br>ὁ θήρ
θηρῶν; τῶν θηρῶν<br><br>ὁ θήρ
θηρί; τῷ θηρί<br><br>ὁ θήρ
ῥήτορᾰς; τοὺς ῥήτορᾰς<br><br>ὁ ῥήτωρ
ῥήτορος; τοῦ ῥήτορος<br><br>ὁ ῥήτωρ
ῥήτορᾰ; τὸν ῥήτορᾰ<br><br>ὁ ῥήτωρ
ῥήτορῐ; τῷ ῥήτορῐ<br><br>ὁ ῥήτωρ
ῥήτορε; τὼ ῥήτορε<br><br>ὁ ῥήτωρ
ῥήτωρ; ὁ ῥήτωρ<br>ῶ ῥήτωρ<br><br>ὁ ῥήτωρ
ῥητόροιν; τοῖν ῥητόροιν<br><br>ὁ ῥήτωρ
ῥητόρων; τῶν ῥητόρων<br><br>ὁ ῥήτωρ
ῥήτορες; οἱ ῥήτορες<br><br>ὁ ῥήτωρ
ῥήτορσῐ(ν); τοῖς ῥήτορσῐ(ν)<br><br>ὁ ῥήτωρ
ῥίς; ἡ ῥίς<br>ῶ ῥίς<br><br>ἡ ῥίς
ῥῖνες; αἱ ῥῖνες<br><br>ἡ ῥίς
ῥῖνᾰ; τὴν ῥῖνᾰ<br><br>ἡ ῥίς
ῥινοῖν; τοῖν ῥινοῖν<br><br>ἡ ῥίς
ῥῖνᾰς; τὰς ῥῖνᾰς<br><br>ἡ ῥίς
ῥῖνε; τὼ ῥῖνε<br><br>ἡ ῥίς
ῥινός; τῆς ῥινός<br><br>ἡ ῥίς
ῥινί; τῇ ῥινί<br><br>ἡ ῥίς
ῥινῶν; τῶν ῥινῶν<br><br>ἡ ῥίς
ῥισί(ν); ταῖς ῥισί(ν)<br><br>ἡ ῥίς
ἡγεμόνος; τοῦ ἡγεμόνος<br><br>ὁ ἡγεμών
ἡγεμόνοιν; τοῖν ἡγεμόνοιν<br><br>ὁ ἡγεμών
ἡγεμόνῐ; τῷ ἡγεμόνῐ<br><br>ὁ ἡγεμών
ἡγεμόνᾰς; τοὺς ἡγεμόνᾰς<br><br>ὁ ἡγεμών
ἡγεμόνᾰ; τὸν ἡγεμόνᾰ<br><br>ὁ ἡγεμών
ἡγεμοῦσῐ(ν); τοῖς ἡγεμοῦσῐ(ν)<br><br>ὁ ἡγεμών
ἡγεμόνες; οἱ ἡγεμόνες<br><br>ὁ ἡγεμών
ἡγεμόνε; τὼ ἡγεμόνε<br><br>ὁ ἡγεμών
ἡγεμόνων; τῶν ἡγεμόνων<br><br>ὁ ἡγεμών
ἡγεμών; ὁ ἡγεμών<br>ῶ ἡγεμών<br><br>ὁ ἡγεμών
ἀγῶνε; τὼ ἀγῶνε<br><br>ὁ ἀγών
ἀγῶνᾰς; τοὺς ἀγῶνᾰς<br><br>ὁ ἀγών
ἀγῶνᾰ; τὸν ἀγῶνᾰ<br><br>ὁ ἀγών
ἀγῶνος; τοῦ ἀγῶνος<br><br>ὁ ἀγών
ἀγῶνες; οἱ ἀγῶνες<br><br>ὁ ἀγών
ἀγῶσῐ(ν); τοῖς ἀγῶσῐ(ν)<br><br>ὁ ἀγών
ἀγώνοιν; τοῖν ἀγώνοιν<br><br>ὁ ἀγών
ἀγώνων; τῶν ἀγώνων<br><br>ὁ ἀγών
ἀγών; ὁ ἀγών<br>ῶ ἀγών<br><br>ὁ ἀγών
ἀγῶνῐ; τῷ ἀγῶνῐ<br><br>ὁ ἀγών
ποιμένᾰς; τοὺς ποιμένᾰς<br><br>ὁ ποιμήν
ποιμήν; ὁ ποιμήν<br>ῶ ποιμήν<br><br>ὁ ποιμήν
ποιμεῖσῐ(ν); τοῖς ποιμεῖσῐ(ν)<br><br>ὁ ποιμήν
ποιμένος; τοῦ ποιμένος<br><br>ὁ ποιμήν
ποιμένᾰ; τὸν ποιμένᾰ<br><br>ὁ ποιμήν
ποιμένες; οἱ ποιμένες<br><br>ὁ ποιμήν
ποιμένε; τὼ ποιμένε<br><br>ὁ ποιμήν
ποιμένων; τῶν ποιμένων<br><br>ὁ ποιμήν
ποιμένῐ; τῷ ποιμένῐ<br><br>ὁ ποιμήν
ποιμένοιν; τοῖν ποιμένοιν<br><br>ὁ ποιμήν
πᾰτέρᾰ; τὸν πᾰτέρᾰ<br><br>ὁ πατήρ
πᾰτέρῐ; τῷ πᾰτέρῐ<br><br>ὁ πατήρ
πᾰτέρε; τὼ πᾰτέρε<br><br>ὁ πατήρ
πᾰτέρων; τῶν πᾰτέρων<br><br>ὁ πατήρ
πᾰτέρες; οἱ πᾰτέρες<br><br>ὁ πατήρ
πᾰτήρ; ὁ πᾰτήρ<br><br>ὁ πατήρ
πᾰτέροιν; τοῖν πᾰτέροιν<br><br>ὁ πατήρ
πᾰτέρᾰς; τοὺς πᾰτέρᾰς<br><br>ὁ πατήρ
πᾰτράσῐ(ν); τοῖς πᾰτράσῐ(ν)<br><br>ὁ πατήρ
πάτερ; ῶ πάτερ<br><br>ὁ πατήρ
πᾰτέρος; τοῦ πᾰτέρος<br><br>ὁ πατήρ
μητέρας; τὰς μητέρας<br><br>ἡ μήτηρ
μητέροιν; τοῖν μητέροιν<br><br>ἡ μήτηρ
μητέρα; τὴν μητέρα<br><br>ἡ μήτηρ
μῆτερ; ῶ μῆτερ<br><br>ἡ μήτηρ
μητέρε; τὼ μητέρε<br><br>ἡ μήτηρ
μητράσι(ν); ταῖς μητράσι(ν)<br><br>ἡ μήτηρ
μήτρός; τῆς μήτρός<br><br>ἡ μήτηρ
μητρί; τῇ μητρί<br><br>ἡ μήτηρ
μητέρες; αἱ μητέρες<br><br>ἡ μήτηρ
μητέραν; τῶν μητέραν<br><br>ἡ μήτηρ
μήτηρ; ἡ μήτηρ<br><br>ἡ μήτηρ
θυγατέρος; τῆς θυγατέρος<br><br>ἡ θυγάτηρ
θυγατέροιν; τοῖν θυγατέροιν<br><br>ἡ θυγάτηρ
θυγάτηρ; ἡ θυγάτηρ<br><br>ἡ θυγάτηρ
θυγατράσι; ταῖς θυγατράσι<br><br>ἡ θυγάτηρ
θυγατέρᾰς; τὰς θυγατέρᾰς<br><br>ἡ θυγάτηρ
θυγατέρε; τὼ θυγατέρε<br><br>ἡ θυγάτηρ
θύγατερ; ῶ θύγατερ<br><br>ἡ θυγάτηρ
θυγατέρᾰ; τὴν θυγατέρᾰ<br><br>ἡ θυγάτηρ
θυγατέρες; αἱ θυγατέρες<br><br>ἡ θυγάτηρ
θυγατέρων; τῶν θυγατέρων<br><br>ἡ θυγάτηρ
θυγατέρῐ; τῇ θυγατέρῐ<br><br>ἡ θυγάτηρ
ἄνδρας; τοὺς ἄνδρας<br><br>ὁ ἀνήρ
ἄνδρα; τὸν ἄνδρα<br><br>ὁ ἀνήρ
ἄνδρε; τὼ ἄνδρε<br><br>ὁ ἀνήρ
ἀνήρ; ὁ ἀνήρ<br><br>ὁ ἀνήρ
ἀνδράσι(ν); τοῖς ἀνδράσι(ν)<br><br>ὁ ἀνήρ
ἀνδρῶν; τῶν ἀνδρῶν<br><br>ὁ ἀνήρ
ἀνδρί; τῷ ἀνδρί<br><br>ὁ ἀνήρ
ἀνδροῖν; τοῖν ἀνδροῖν<br><br>ὁ ἀνήρ
ἄνερ; ῶ ἄνερ<br><br>ὁ ἀνήρ
ἀνδρός; τοῦ ἀνδρός<br><br>ὁ ἀνήρ
ἄνδρες; οἱ ἄνδρες<br><br>ὁ ἀνήρ
Σωκράτη; τὸν Σωκράτη<br><br>ὁ Σωκράτης
Σώκρατες; ῶ Σώκρατες<br><br>ὁ Σωκράτης
Σωκράτης; ὁ Σωκράτης<br><br>ὁ Σωκράτης
Σωκράτει; τῷ Σωκράτει<br><br>ὁ Σωκράτης
Σωκράτεος; τοῦ Σωκράτεος<br><br>ὁ Σωκράτης
Σωκράτεα; τὸν Σωκράτεα<br><br>ὁ Σωκράτης
Σωκράτους; τοῦ Σωκράτους<br><br>ὁ Σωκράτης
Δημοσθένους; τοῦ Δημοσθένους<br><br>ὁ Δημοσθένης
Δημοσθένη; τὸν Δημοσθένη<br><br>ὁ Δημοσθένης
Δημοσθένει; τῷ Δημοσθένει<br><br>ὁ Δημοσθένης
Δημοσθένης; ὁ Δημοσθένης<br><br>ὁ Δημοσθένης
Δημόσθενες; ῶ Δημόσθενες<br><br>ὁ Δημοσθένης
τριήρων; τῶν τριήρων<br><br>ἡ τριήρης
τριήρεος; τῆς τριήρεος<br><br>ἡ τριήρης
τριήρης; ἡ τριήρης<br><br>ἡ τριήρης
τριήρη; τὴν τριήρη<br><br>ἡ τριήρης
τριηρέων; τῶν τριηρέων<br><br>ἡ τριήρης
τριήρεσι(ν); ταῖς τριήρεσι(ν)<br><br>ἡ τριήρης
τριηρέοιν; τοῖν τριηρέοιν<br><br>ἡ τριήρης
τριήρεα; τὴν τριήρεα<br><br>ἡ τριήρης
τριήρεες; αἱ τριήρεες<br><br>ἡ τριήρης
τριήρεσσι; ταῖς τριήρεσσι<br><br>ἡ τριήρης
τριήροιν; τοῖν τριήροιν<br><br>ἡ τριήρης
τριήρεις; αἱ τριήρεις<br>τὰς τριήρεις<br><br>ἡ τριήρης
τριήρει; τῇ τριήρει<br>τὼ τριήρει<br><br>ἡ τριήρης
τριήρεε; τὼ τριήρεε<br><br>ἡ τριήρης
τριῆρες; ῶ τριῆρες<br><br>ἡ τριήρης
τριήρους; τῆς τριήρους<br><br>ἡ τριήρης
γενέοιν; τοῖν γενέοιν<br><br>τὸ γένος
γενέων; τῶν γενέων<br><br>τὸ γένος
γένεϊ; τῷ γένεϊ<br><br>τὸ γένος
γένεε; τὼ γένεε<br><br>τὸ γένος
γένος; τὸ γένος<br>ῶ γένος<br><br>τὸ γένος
γένεος; τοῦ γένεος<br><br>τὸ γένος
γένεᾰ; τὰ γένεᾰ<br><br>τὸ γένος
γένεσσῐ(ν); τοῖς γένεσσῐ(ν)<br><br>τὸ γένος
γέρᾱ; τὼ γέρᾱ<br>τὰ γέρᾱ<br><br>τὸ γέρας
γέραος; τοῦ γέραος<br><br>τὸ γέρας
γέραα; τὰ γέραα<br><br>τὸ γέρας
γέρασσι; τοῖς γέρασσι<br><br>τὸ γέρας
γεράοιν; τοῖν γεράοιν<br><br>τὸ γέρας
γέραε; τὼ γέραε<br><br>τὸ γέρας
γέραι; τῷ γέραι<br><br>τὸ γέρας
γέρασι(ν); τοῖς γέρασι(ν)<br><br>τὸ γέρας
γερῷν; τοῖν γερῷν<br><br>τὸ γέρας
γερῶν; τῶν γερῶν<br><br>τὸ γέρας
γέρας; τὸ γέρας<br>ῶ γέρας<br><br>τὸ γέρας
γεράων; τῶν γεράων<br><br>τὸ γέρας
γέρως; τοῦ γέρως<br><br>τὸ γέρας
δέεος; τοῦ δέεος<br><br>τὸ δέος
δέος; τὸ δέος<br>ῶ δέος<br><br>τὸ δέος
δέους; τοῦ δέους<br><br>τὸ δέος
δέει; τῷ δέει<br><br>τὸ δέος
Περικλέᾱ; τὸν Περικλέᾱ<br><br>ὁ Περικλῆς
Περικλῆς; ὁ Περικλῆς<br><br>ὁ Περικλῆς
Περίκλεις; ῶ Περίκλεις<br><br>ὁ Περικλῆς
Περικλέους; τοῦ Περικλέους<br><br>ὁ Περικλῆς
Περικλεῖ; τῷ Περικλεῖ<br><br>ὁ Περικλῆς
αἰδόα; τὴν αἰδόα<br><br>ἡ αἰδώς
αἰδοῖ; τῇ αἰδοῖ<br><br>ἡ αἰδώς
αἰδώς; ἡ αἰδώς<br>ῶ αἰδώς<br><br>ἡ αἰδώς
αἰδόι; τῇ αἰδόι<br><br>ἡ αἰδώς
αἰδόος; τῆς αἰδόος<br><br>ἡ αἰδώς
αἰδοῦς; τῆς αἰδοῦς<br><br>ἡ αἰδώς
αἰδῶ; τὴν αἰδῶ<br><br>ἡ αἰδώς
ἥρωᾰ; τὸν ἥρωᾰ<br><br>ὁ ἥρως
ἥρωος; τοῦ ἥρωος<br><br>ὁ ἥρως
ἡρώων; τῶν ἡρώων<br><br>ὁ ἥρως
ἥρωᾰς; τοὺς ἥρωᾰς<br><br>ὁ ἥρως
ἥρως; ὁ ἥρως<br>ῶ ἥρως<br><br>ὁ ἥρως
ἥρωσῐ(ν); τοῖς ἥρωσῐ(ν)<br><br>ὁ ἥρως
ἥρωες; οἱ ἥρωες<br><br>ὁ ἥρως
ἥρωε; τὼ ἥρωε<br><br>ὁ ἥρως
ἥρωῐ; τῷ ἥρωῐ<br><br>ὁ ἥρως
ἡρώοιν; τοῖν ἡρώοιν<br><br>ὁ ἥρως
πόλῐς; ἡ πόλῐς<br><br>ἡ πόλις
πόλει; τῇ πόλει<br>τὼ πόλει<br><br>ἡ πόλις
πόλεις; αἱ πόλεις<br>τὰς πόλεις<br><br>ἡ πόλις
πόλεων; τῶν πόλεων<br><br>ἡ πόλις
πόλῐ; ῶ πόλῐ<br><br>ἡ πόλις
πολέοιν; τοῖν πολέοιν<br><br>ἡ πόλις
πόλεσῐ(ν); ταῖς πόλεσῐ(ν)<br><br>ἡ πόλις
πόλεως; τῆς πόλεως<br><br>ἡ πόλις
πόλῐν; τὴν πόλῐν<br><br>ἡ πόλις
πήχεων; τῶν πήχεων<br><br>ὁ πῆχυς
πήχεις; οἱ πήχεις<br>τοὺς πήχεις<br><br>ὁ πῆχυς
πήχει; τῷ πήχει<br>τὼ πήχει<br><br>ὁ πῆχυς
πηχέοιν; τοῖν πηχέοιν<br><br>ὁ πῆχυς
πῆχυν; τὸν πῆχυν<br><br>ὁ πῆχυς
πῆχυς; ὁ πῆχυς<br><br>ὁ πῆχυς
πήχεως; τοῦ πήχεως<br><br>ὁ πῆχυς
πήχεσι(ν); τοῖς πήχεσι(ν)<br><br>ὁ πῆχυς
πῆχυ; ῶ πῆχυ<br><br>ὁ πῆχυς
ἄστεσι(ν); τοῖς ἄστεσι(ν)<br><br>τὸ ἄστυ
ἄστη; τὰ ἄστη<br><br>τὸ ἄστυ
ἄστεως; τοῦ ἄστεως<br><br>τὸ ἄστυ
ἄστεων; τῶν ἄστεων<br><br>τὸ ἄστυ
ἀστέοιν; τοῖν ἀστέοιν<br><br>τὸ ἄστυ
ἄστει; τῷ ἄστει<br>τὼ ἄστει<br><br>τὸ ἄστυ
ἄστυ; τὸ ἄστυ<br>ῶ ἄστυ<br><br>τὸ ἄστυ
σύες; οἱ/αἱ σύες<br><br>ὁ/ἡ σῦς
σῦς; τοὺς/τὰς σῦς<br>ὁ/ἡ σῦς<br><br>ὁ/ἡ σῦς
σῦ; ῶ/ῶ σῦ<br><br>ὁ/ἡ σῦς
συῶν; τῶν/τῶν συῶν<br><br>ὁ/ἡ σῦς
συοῖν; τοῖν/τοῖν συοῖν<br><br>ὁ/ἡ σῦς
σῦν; τὸν/τὴν σῦν<br><br>ὁ/ἡ σῦς
συσΐ(ν); τοῖς/ταῖς συσΐ(ν)<br><br>ὁ/ἡ σῦς
συΐ; τῷ/τῇ συΐ<br><br>ὁ/ἡ σῦς
σύε; τὼ/τὼ σύε<br><br>ὁ/ἡ σῦς
συός; τοῦ/τῆς συός<br><br>ὁ/ἡ σῦς
ἰχθύϊ; τῷ ἰχθύϊ<br><br>ὁ ἰχθύς
ἰχθύοιν; τοῖν ἰχθύοιν<br><br>ὁ ἰχθύς
ἰχθύς; ὁ ἰχθύς<br><br>ὁ ἰχθύς
ἰχθύων; τῶν ἰχθύων<br><br>ὁ ἰχθύς
ἰχθῦς; τοὺς ἰχθῦς<br><br>ὁ ἰχθύς
ἰχθύες; οἱ ἰχθύες<br><br>ὁ ἰχθύς
ἰχθύν; τὸν ἰχθύν<br><br>ὁ ἰχθύς
ἰχθύος; τοῦ ἰχθύος<br><br>ὁ ἰχθύς
ἰχθύσῐ(ν); τοῖς ἰχθύσῐ(ν)<br><br>ὁ ἰχθύς
ἰχθύε; τὼ ἰχθύε<br><br>ὁ ἰχθύς
ἰχθύ; ῶ ἰχθύ<br><br>ὁ ἰχθύς
οἶς; τοὺς/τὰς οἶς<br>ὁ/ἡ οἶς<br><br>ὁ/ἡ οἶς
οἰοῖν; τοῖν/τοῖν οἰοῖν<br><br>ὁ/ἡ οἶς
οἰός; τοῦ/τῆς οἰός<br><br>ὁ/ἡ οἶς
οἶ; ῶ/ῶ οἶ<br><br>ὁ/ἡ οἶς
οἰῶν; τῶν/τῶν οἰῶν<br><br>ὁ/ἡ οἶς
οἰί; τῷ/τῇ οἰί<br><br>ὁ/ἡ οἶς
οἰσί(ν); τοῖς/ταῖς οἰσί(ν)<br><br>ὁ/ἡ οἶς
οἶε; τὼ/τὼ οἶε<br><br>ὁ/ἡ οἶς
οἶες; οἱ/αἱ οἶες<br><br>ὁ/ἡ οἶς
οἶν; τὸν/τὴν οἶν<br><br>ὁ/ἡ οἶς
βᾰσῐλέως; τοῦ βᾰσῐλέως<br><br>ὁ βασιλεύς
βᾰσῐλέᾰ; τὸν βᾰσῐλέᾰ<br><br>ὁ βασιλεύς
βᾰσῐλεύς; ὁ βᾰσῐλεύς<br><br>ὁ βασιλεύς
βᾰσῐλεῦ; ῶ βᾰσῐλεῦ<br><br>ὁ βασιλεύς
βᾰσῐλέᾰς; τοὺς βᾰσῐλέᾰς<br><br>ὁ βασιλεύς
βᾰσῐλέοιν; τοῖν βᾰσῐλέοιν<br><br>ὁ βασιλεύς
βᾰσῐλεῦσῐ(n); τοῖς βᾰσῐλεῦσῐ(n)<br><br>ὁ βασιλεύς
βᾰσῐλῆ; τὼ βᾰσῐλῆ<br><br>ὁ βασιλεύς
βᾰσῐλεῖς; οἱ βᾰσῐλεῖς<br><br>ὁ βασιλεύς
βᾰσῐλεῖ; τῷ βᾰσῐλεῖ<br><br>ὁ βασιλεύς
βᾰσῐλέων; τῶν βᾰσῐλέων<br><br>ὁ βασιλεύς
γραῦς; ἡ γραῦς<br>τὰς γραῦς<br><br>ἡ γραῦς
γραυσί(ν); ταῖς γραυσί(ν)<br><br>ἡ γραῦς
γρᾱοῖν; τοῖν γρᾱοῖν<br><br>ἡ γραῦς
γραῦ; ῶ γραῦ<br><br>ἡ γραῦς
γρᾱῑ́; τῇ γρᾱῑ́<br><br>ἡ γραῦς
γρᾶε; τὼ γρᾶε<br><br>ἡ γραῦς
γρᾱῶν; τῶν γρᾱῶν<br><br>ἡ γραῦς
γρᾱός; τῆς γρᾱός<br><br>ἡ γραῦς
γρᾶες; αἱ γρᾶες<br><br>ἡ γραῦς
γραῦν; τὴν γραῦν<br><br>ἡ γραῦς
ναυσί(ν); ταῖς ναυσί(ν)<br><br>ἡ ναῦς
ναῦν; τὴν ναῦν<br><br>ἡ ναῦς
νεῶν; τῶν νεῶν<br><br>ἡ ναῦς
νεοῖν; τοῖν νεοῖν<br><br>ἡ ναῦς
νηΐ; τῇ νηΐ<br><br>ἡ ναῦς
νῆες; αἱ νῆες<br><br>ἡ ναῦς
ναῦ; ῶ ναῦ<br><br>ἡ ναῦς
ναῦς; ἡ ναῦς<br>τὰς ναῦς<br><br>ἡ ναῦς
νεώς; τῆς νεώς<br><br>ἡ ναῦς
νῆε; τὼ νῆε<br><br>ἡ ναῦς
βοός; τοῦ/τῆς βοός<br><br>ὁ/ἡ βοῦς
βοΐ; τῷ/τῇ βοΐ<br><br>ὁ/ἡ βοῦς
βοῦν; τὸν/τὴν βοῦν<br><br>ὁ/ἡ βοῦς
βοῦς; τοὺς/τὰς βοῦς<br>ὁ/ἡ βοῦς<br><br>ὁ/ἡ βοῦς
βουσί(ν); τοῖς/ταῖς βουσί(ν)<br><br>ὁ/ἡ βοῦς
βοῦ; ῶ/ῶ βοῦ<br><br>ὁ/ἡ βοῦς
βοοῖν; τοῖν/τοῖν βοοῖν<br><br>ὁ/ἡ βοῦς
βόες; οἱ/αἱ βόες<br><br>ὁ/ἡ βοῦς
βόε; τὼ/τὼ βόε<br><br>ὁ/ἡ βοῦς
βοῶν; τῶν/τῶν βοῶν<br><br>ὁ/ἡ βοῦς
πειθοῦς; τῆς πειθοῦς<br><br>ἡ πειθώ
πειθοῖ; τῇ πειθοῖ<br>ῶ πειθοῖ<br><br>ἡ πειθώ
πειθώ; ἡ πειθώ<br>τὴν πειθώ<br><br>ἡ πειθώ
